iter	Passed	Remaining
652	9220	4899
653	9232	4884
654	9245	4869
655	9257	4854
656	9270	4839
657	9283	4825
658	9295	4810
659	9312	4797
660	9331	4785
661	9346	4772
662	9361	4758
663	9373	4743
664	9385	4728
665	9398	4713
666	9411	4698
667	9427	4685
668	9440	4670
669	9454	4656
670	9466	4641
671	9479	4626
672	9490	4611
673	9502	4596
674	9521	4584
675	9534	4569
676	9547	4555
677	9558	4539
678	9571	4524
679	9583	4509
680	9597	4495
681	9610	4480
682	9622	4465
683	9643	4455
684	9656	4440
685	9671	4426
686	9683	4411
687	9694	4396
688	9706	4381
689	9718	4366
690	9731	4351
691	9742	4336
692	9755	4321
693	9766	4306
694	9778	4291
695	9790	4276
696	9801	4261
697	9813	4246
698	9825	4231
699	9837	4215
700	9849	4201
701	9860	4185
702	9872	4170
703	9884	4155
704	9896	4140
705	9907	4125
706	9919	4110
707	9930	4095
708	9942	4080
709	9954	4065
710	9965	4050
711	9977	4035
712	9988	4020
713	10000	4005
714	10012	3990
715	10022	3975
716	10034	3960
717	10046	3945
718	10058	3931
719	10069	3916
720	10081	3901
721	10093	3886
722	10106	3871
723	10121	3858
724	10133	3843
725	10144	3828
726	10154	3813
727	10165	3798
728	10175	3782
729	10185	3767
730	10195	3751
731	10205	3736
732	10215	3721
733	10226	3706
734	10239	3691
735	10252	3677
736	10264	3662
737	10277	3648
738	10290	3634
739	10303	3620
740	10315	3605
741	10335	3593
742	10348	3579
743	10360	3564
744	10372	3550
745	10385	3535
746	10397	3521
747	10410	3507
748	10422	3492
749	10434	3478
750	10445	3463
751	10455	3448
752	10466	3433
753	10476	3418
754	10487	3403
755	10498	3388
756	10509	3373
757	10521	3358
758	10532	3344
759	10559	3334
760	10576	3321
761	10588	3307
762	10600	3292
763	10612	3278
764	10624	3263
765	10637	3249
766	10650	3235
767	10662	3220
768	10675	3206
769	10687	3192
770	10706	3179
771	10723	3167
772	10736	3152
773	10749	3138
774	10763	3124
775	10777	3111
776	10790	3096
777	10804	3083
778	10817	3068
779	10829	3054
780	10841	3040
781	10853	3025
782	10864	3011
783	10876	2996
784	10886	2981
785	10896	2966
786	10907	2952
787	10918	2937
788	10929	2922
789	10945	2909
790	10961	2896
791	10971	2881
792	10983	2866
793	10992	2851
794	11002	2837
795	11012	2822
796	11022	2807
797	11032	2792
798	11042	2777
799	11053	2763
800	11064	2748
801	11075	2734
802	11087	2720
803	11099	2705
804	11111	2691
805	11122	2677
806	11133	2662
807	11143	2647
808	11154	2633
809	11165	2619
810	11177	2604
811	11189	2590
812	11200	2576
813	11212	2562
814	11224	2547
815	11236	2533
816	11246	2519
817	11256	2504
818	11266	2489
819	11276	2475
820	11287	2460
821	11296	2446
822	11307	2431
823	11318	2417
824	11329	2403
825	11339	2388
826	11350	2374
827	11363	2360
828	11373	2346
829	11383	2331
830	11394	2317
831	11404	2302
832	11413	2288
833	11422	2273
834	11432	2259
835	11444	2245
836	11456	2231
837	11468	2217
838	11480	2202
839	11490	2188
840	11500	2174
841	11509	2159
842	11517	2144
843	11524	2130
844	11533	2115
845	11541	2100
846	11551	2086
847	11563	2072
848	11579	2059
849	11589	2045
850	11598	2030
851	11607	2016
852	11617	2002
853	11627	1987
854	11637	1973
855	11646	1959
856	11656	1945
857	11666	1930
858	11676	1916
859	11686	1902
860	11696	1888
861	11705	1873
862	11715	1859
863	11726	1845
864	11737	1831
865	11753	1818
866	11764	1804
867	11775	1790
868	11785	1776
869	11796	1762
870	11806	1748
871	11817	1734
872	11828	1720
873	11853	1708
874	11874	1696
875	11886	1682
876	11896	1668
877	11907	1654
878	11917	1640
879	11929	1626
880	11940	1612
881	11951	1598
882	11963	1585
883	11974	1571
884	11985	1557
885	11996	1543
886	12007	1529
887	12018	1515
888	12029	1501
889	12040	1488
890	12050	1474
891	12061	1460
892	12071	1446
893	12082	1432
894	12092	1418
895	12103	1404
896	12115	1391
897	12126	1377
898	12137	1363
899	12148	1349
900	12158	1335
901	12176	1322
902	12187	1309
903	12197	1295
904	12208	1281
905	12218	1267
906	12229	1253
907	12241	1240
908	12253	1226
909	12264	1212
910	12274	1199
911	12285	1185
912	12295	1171
913	12303	1157
914	12312	1143
915	12321	1129
916	12330	1116
917	12339	1102
918	12348	1088
919	12356	1074
920	12365	1060
921	12373	1046
922	12382	1032
923	12392	1019
924	12402	1005
925	12412	991
926	12422	978
927	12432	964
928	12442	950
929	12452	937
930	12463	923
931	12473	910
932	12482	896
933	12492	882
934	12502	869
935	12512	855
936	12522	841
937	12532	828
938	12541	814
939	12551	801
940	12560	787
941	12569	773
942	12579	760
943	12586	746
944	12595	733
945	12603	719
946	12612	705
947	12620	692
948	12629	678
949	12637	665
950	12645	651
951	12653	637
952	12662	624
953	12670	610
954	12679	597
955	12687	583
956	12696	570
957	12704	556
958	12712	543
959	12721	530
960	12730	516
961	12739	503
962	12749	489
963	12760	476
964	12769	463
965	12778	449
966	12787	436
967	12794	422
968	12803	409
969	12811	396
970	12819	382
971	12828	369
972	12836	356
973	12845	342
974	12853	329
975	12862	316
976	12870	302
977	12878	289
978	12887	276
979	12896	263
980	12905	249
981	12914	236
982	12924	223
983	12935	210
984	12950	197
985	12962	184
986	12972	170
987	12984	157
988	12996	144
989	13008	131
990	13020	118
991	13032	105
992	13044	91
993	13056	78
994	13068	65
995	13080	52
996	13092	39
997	13104	26
998	13116	13
999	13128	0
